Problems,Equations,Answers
Michael has 7 coconuts. He buys 2 more coconuts. How many coconuts does Michael have now?,7 + 2,9
Sophia has 5 figs. She buys 4 more figs. How many figs does Sophia have now?,5 + 4,9
Harper has 6 cherries. She buys 3 more cherries. How many cherries does Harper have now?,6 + 3,9
Daniel has 8 mangoes. He buys 5 more mangoes. How many mangoes does Daniel have now?,8 + 5,13
Mia has 4 bananas. She buys 7 more bananas. How many bananas does Mia have now?,4 + 7,11
Ethan has 7 lemons. He buys 6 more lemons. How many lemons does Ethan have now?,7 + 6,13
Grace has 8 apples. She buys 3 more apples. How many apples does Grace have now?,8 + 3,11
Wyatt has 6 plums. He buys 5 more plums. How many plums does Wyatt have now?,6 + 5,11
Isla has 5 raspberries. She buys 7 more raspberries. How many raspberries does Isla have now?,5 + 7,12
Lucas has 9 coconuts. He buys 1 more coconut. How many coconuts does Lucas have now?,9 + 1,10
Layla has 7 pineapples. She buys 2 more pineapples. How many pineapples does Layla have now?,7 + 2,9
Aiden has 8 strawberries. He buys 3 more strawberries. How many strawberries does Aiden have now?,8 + 3,11
Olivia has 5 peaches. She buys 6 more peaches. How many peaches does Olivia have now?,5 + 6,11
Emma has 9 cherries. She buys 2 more cherries. How many cherries does Emma have now?,9 + 2,11
Ava has 4 bananas. She buys 7 more bananas. How many bananas does Ava have now?,4 + 7,11
Liam has 6 apples. He buys 5 more apples. How many apples does Liam have now?,6 + 5,11
Emma has 9 oranges. She buys 1 more orange. How many oranges does Emma have now?,9 + 1,10
Ethan has 7 strawberries. He buys 3 more strawberries. How many strawberries does Ethan have now?,7 + 3,10
Olivia has 8 peaches. She buys 2 more peaches. How many peaches does Olivia have now?,8 + 2,10
Logan has 3 cherries. He buys 8 more cherries. How many cherries does Logan have now?,3 + 8,11
Sophia has 7 lemons. She buys 6 more lemons. How many lemons does Sophia have now?,7 + 6,13
Jack has 5 plums. He buys 9 more plums. How many plums does Jack have now?,5 + 9,14
Isla has 4 mangoes. She buys 7 more mangoes. How many mangoes does Isla have now?,4 + 7,11
Noah has 8 coconuts. He buys 2 more coconuts. How many coconuts does Noah have now?,8 + 2,10
Chloe has 6 apricots. She buys 3 more apricots. How many apricots does Chloe have now?,6 + 3,9
Lucas has 5 figs. He buys 4 more figs. How many figs does Lucas have now?,5 + 4,9
Amelia has 9 grapes. She buys 3 more grapes. How many grapes does Amelia have now?,9 + 3,12
Henry has 7 pineapples. He buys 1 more pineapple. How many pineapples does Henry have now?,7 + 1,8
Ava has 6 watermelons. She buys 5 more watermelons. How many watermelons does Ava have now?,6 + 5,11
Liam has 9 kiwis. He buys 2 more kiwis. How many kiwis does Liam have now?,9 + 2,11
Emma has 8 apricots. She buys 1 more apricot. How many apricots does Emma have now?,8 + 1,9
Ethan has 4 figs. He buys 7 more figs. How many figs does Ethan have now?,4 + 7,11
Olivia has 5 melons. She buys 3 more melons. How many melons does Olivia have now?,5 + 3,8
Logan has 7 blueberries. He buys 6 more blueberries. How many blueberries does Logan have now?,7 + 6,13
Sophia has 9 raspberries. She buys 2 more raspberries. How many raspberries does Sophia have now?,9 + 2,11
Jack has 4 cherries. He buys 8 more cherries. How many cherries does Jack have now?,4 + 8,12
Isla has 5 peaches. She buys 7 more peaches. How many peaches does Isla have now?,5 + 7,12
Noah has 6 strawberries. He buys 1 more strawberry. How many strawberries does Noah have now?,6 + 1,7
Chloe has 7 oranges. She buys 5 more oranges. How many oranges does Chloe have now?,7 + 5,12
Lucas has 9 lemons. He buys 4 more lemons. How many lemons does Lucas have now?,9 + 4,13
Amelia has 6 grapes. She buys 3 more grapes. How many grapes does Amelia have now?,6 + 3,9
Henry has 4 papayas. He buys 9 more papayas. How many papayas does Henry have now?,4 + 9,13
Ava has 7 pineapples. She buys 5 more pineapples. How many pineapples does Ava have now?,7 + 5,12
Liam has 8 figs. He buys 2 more figs. How many figs does Liam have now?,8 + 2,10
Emma has 3 mangoes. She buys 9 more mangoes. How many mangoes does Emma have now?,3 + 9,12
Ethan has 5 coconuts. He buys 4 more coconuts. How many coconuts does Ethan have now?,5 + 4,9
Olivia has 6 cherries. She buys 1 more cherry. How many cherries does Olivia have now?,6 + 1,7
Logan has 9 apricots. He buys 3 more apricots. How many apricots does Logan have now?,9 + 3,12
Sophia has 4 strawberries. She buys 8 more strawberries. How many strawberries does Sophia have now?,4 + 8,12
Jack has 7 melons. He buys 5 more melons. How many melons does Jack have now?,7 + 5,12
Isla has 6 grapes. She buys 2 more grapes. How many grapes does Isla have now?,6 + 2,8
Noah has 8 kiwis. He buys 3 more kiwis. How many kiwis does Noah have now?,8 + 3,11
Chloe has 7 apples. She buys 2 more apples. How many apples does Chloe have now?,7 + 2,9
Lucas has 5 lemons. He buys 3 more lemons. How many lemons does Lucas have now?,5 + 3,8
Amelia has 9 blueberries. She buys 6 more blueberries. How many blueberries does Amelia have now?,9 + 6,15
Henry has 8 pineapples. He buys 1 more pineapple. How many pineapples does Henry have now?,8 + 1,9
Ava has 7 watermelons. She buys 4 more watermelons. How many watermelons does Ava have now?,7 + 4,11
Liam has 6 figs. He buys 3 more figs. How many figs does Liam have now?,6 + 3,9
Emma has 8 oranges. She buys 5 more oranges. How many oranges does Emma have now?,8 + 5,13
Ethan has 3 strawberries. He buys 6 more strawberries. How many strawberries does Ethan have now?,3 + 6,9
Olivia has 7 peaches. She buys 4 more peaches. How many peaches does Olivia have now?,7 + 4,11
Logan has 9 cherries. He buys 2 more cherries. How many cherries does Logan have now?,9 + 2,11
Sophia has 6 apricots. She buys 3 more apricots. How many apricots does Sophia have now?,6 + 3,9
Jack has 5 mangoes. He buys 4 more mangoes. How many mangoes does Jack have now?,5 + 4,9
Isla has 8 grapes. She buys 1 more grape. How many grapes does Isla have now?,8 + 1,9
Noah has 4 pineapples. He buys 6 more pineapples. How many pineapples does Noah have now?,4 + 6,10
Chloe has 7 watermelons. She buys 3 more watermelons. How many watermelons does Chloe have now?,7 + 3,10
Lucas has 5 figs. He buys 7 more figs. How many figs does Lucas have now?,5 + 7,12
Amelia has 9 lemons. She buys 2 more lemons. How many lemons does Amelia have now?,9 + 2,11
Henry has 8 oranges. He buys 3 more oranges. How many oranges does Henry have now?,8 + 3,11
Ava has 6 papayas. She buys 5 more papayas. How many papayas does Ava have now?,6 + 5,11
Liam has 7 cherries. He buys 4 more cherries. How many cherries does Liam have now?,7 + 4,11
Emma has 9 apricots. She buys 1 more apricot. How many apricots does Emma have now?,9 + 1,10
Ethan has 5 blueberries. He buys 6 more blueberries. How many blueberries does Ethan have now?,5 + 6,11
Olivia has 4 peaches. She buys 7 more peaches. How many peaches does Olivia have now?,4 + 7,11
Logan has 6 apples. He buys 5 more apples. How many apples does Logan have now?,6 + 5,11
Sophia has 7 strawberries. She buys 3 more strawberries. How many strawberries does Sophia have now?,7 + 3,10
Jack has 8 figs. He buys 2 more figs. How many figs does Jack have now?,8 + 2,10
Isla has 5 oranges. She buys 9 more oranges. How many oranges does Isla have now?,5 + 9,14
Noah has 6 cherries. He buys 1 more cherry. How many cherries does Noah have now?,6 + 1,7
Chloe has 9 apricots. She buys 3 more apricots. How many apricots does Chloe have now?,9 + 3,12
Lucas has 5 pineapples. He buys 4 more pineapples. How many pineapples does Lucas have now?,5 + 4,9
Amelia has 8 watermelons. She buys 2 more watermelons. How many watermelons does Amelia have now?,8 + 2,10
Henry has 9 grapes. He buys 1 more grape. How many grapes does Henry have now?,9 + 1,10
Ava has 7 papayas. She buys 3 more papayas. How many papayas does Ava have now?,7 + 3,10
Liam has 6 coconuts. He buys 5 more coconuts. How many coconuts does Liam have now?,6 + 5,11
Emma has 9 mangoes. She buys 2 more mangoes. How many mangoes does Emma have now?,9 + 2,11
Olivia has 5 cherries. She buys 9 more cherries. How many cherries does Olivia have now?,5 + 9,14
Logan has 7 strawberries. He buys 3 more strawberries. How many strawberries does Logan have now?,7 + 3,10
Sophia has 6 plums. She buys 4 more plums. How many plums does Sophia have now?,6 + 4,10
Jack has 9 pineapples. He buys 1 more pineapple. How many pineapples does Jack have now?,9 + 1,10
Isla has 7 apricots. She buys 5 more apricots. How many apricots does Isla have now?,7 + 5,12
Noah has 5 melons. He buys 3 more melons. How many melons does Noah have now?,5 + 3,8
Chloe has 8 blueberries. She buys 4 more blueberries. How many blueberries does Chloe have now?,8 + 4,12
Ava has 3 apples. She buys 4 more apples. How many apples does Ava have now?,3 + 4,7
Liam has 2 bananas. He buys 6 more bananas. How many bananas does Liam have now?,2 + 6,8
Emma has 5 oranges. She buys 3 more oranges. How many oranges does Emma have now?,5 + 3,8
Ethan has 6 pears. He buys 2 more pears. How many pears does Ethan have now?,6 + 2,8
Olivia has 1 strawberry. She buys 8 more strawberries. How many strawberries does Olivia have now?,1 + 8,9
Noah has 9 melons. He buys 1 more melon. How many melons does Noah have now?,9 + 1,10
Sophia has 4 peaches. She buys 5 more peaches. How many peaches does Sophia have now?,4 + 5,9
Logan has 7 plums. He buys 2 more plums. How many plums does Logan have now?,7 + 2,9
Chloe has 3 grapes. She buys 7 more grapes. How many grapes does Chloe have now?,3 + 7,10
Henry has 8 cherries. He buys 1 more cherry. How many cherries does Henry have now?,8 + 1,9
Amelia has 6 pineapples. She buys 4 more pineapples. How many pineapples does Amelia have now?,6 + 4,10
Ava has 5 kiwis. She buys 5 more kiwis. How many kiwis does Ava have now?,5 + 5,10
Lucas has 7 coconuts. He buys 1 more coconut. How many coconuts does Lucas have now?,7 + 1,8
Isla has 3 apricots. She buys 6 more apricots. How many apricots does Isla have now?,3 + 6,9
Jack has 9 blueberries. He buys 2 more blueberries. How many blueberries does Jack have now?,9 + 2,11
Liam has 6 pears. He buys 4 more pears. How many pears does Liam have now?,6 + 4,10
Emma has 7 raspberries. She buys 2 more raspberries. How many raspberries does Emma have now?,7 + 2,9
Ethan has 4 apples. He buys 5 more apples. How many apples does Ethan have now?,4 + 5,9
Olivia has 8 oranges. She buys 1 more orange. How many oranges does Olivia have now?,8 + 1,9
Noah has 2 melons. He buys 7 more melons. How many melons does Noah have now?,2 + 7,9
Sophia has 6 strawberries. She buys 3 more strawberries. How many strawberries does Sophia have now?,6 + 3,9
Logan has 5 peaches. He buys 5 more peaches. How many peaches does Logan have now?,5 + 5,10
Chloe has 1 fig. She buys 9 more figs. How many figs does Chloe have now?,1 + 9,10
Henry has 7 grapes. He buys 2 more grapes. How many grapes does Henry have now?,7 + 2,9
Amelia has 4 cherries. She buys 6 more cherries. How many cherries does Amelia have now?,4 + 6,10
Ava has 8 coconuts. She buys 1 more coconut. How many coconuts does Ava have now?,8 + 1,9
Lucas has 9 plums. He buys 3 more plums. How many plums does Lucas have now?,9 + 3,12
Isla has 7 apricots. She buys 1 more apricot. How many apricots does Isla have now?,7 + 1,8
Jack has 5 blueberries. He buys 4 more blueberries. How many blueberries does Jack have now?,5 + 4,9
Liam has 4 raspberries. He buys 5 more raspberries. How many raspberries does Liam have now?,4 + 5,9
Emma has 3 apples. She buys 7 more apples. How many apples does Emma have now?,3 + 7,10
Ethan has 6 oranges. He buys 3 more oranges. How many oranges does Ethan have now?,6 + 3,9
Olivia has 5 peaches. She buys 3 more peaches. How many peaches does Olivia have now?,5 + 3,8
Noah has 9 lemons. He buys 1 more lemon. How many lemons does Noah have now?,9 + 1,10
Sophia has 7 grapes. She buys 2 more grapes. How many grapes does Sophia have now?,7 + 2,9
Logan has 4 coconuts. He buys 5 more coconuts. How many coconuts does Logan have now?,4 + 5,9
Chloe has 8 plums. She buys 1 more plum. How many plums does Chloe have now?,8 + 1,9
Henry has 6 apricots. He buys 2 more apricots. How many apricots does Henry have now?,6 + 2,8
Amelia has 3 kiwis. She buys 6 more kiwis. How many kiwis does Amelia have now?,3 + 6,9
Lucas has 5 strawberries. He buys 3 more strawberries. How many strawberries does Lucas have now?,5 + 3,8
Isla has 9 cherries. She buys 2 more cherries. How many cherries does Isla have now?,9 + 2,11
Jack has 7 coconuts. He buys 1 more coconut. How many coconuts does Jack have now?,7 + 1,8
Liam has 6 watermelons. He buys 4 more watermelons. How many watermelons does Liam have now?,6 + 4,10
Emma has 8 grapes. She buys 1 more grape. How many grapes does Emma have now?,8 + 1,9
Ethan has 3 lemons. He buys 7 more lemons. How many lemons does Ethan have now?,3 + 7,10
Olivia has 5 apricots. She buys 5 more apricots. How many apricots does Olivia have now?,5 + 5,10
Noah has 8 kiwis. He buys 1 more kiwi. How many kiwis does Noah have now?,8 + 1,9
Logan has 6 apples. He buys 3 more apples. How many apples does Logan have now?,6 + 3,9
Chloe has 4 oranges. She buys 6 more oranges. How many oranges does Chloe have now?,4 + 6,10
Henry has 7 peaches. He buys 3 more peaches. How many peaches does Henry have now?,7 + 3,10
Amelia has 9 strawberries. She buys 1 more strawberry. How many strawberries does Amelia have now?,9 + 1,10
Ava has 6 lemons. She buys 2 more lemons. How many lemons does Ava have now?,6 + 2,8
Lucas has 4 cherries. He buys 6 more cherries. How many cherries does Lucas have now?,4 + 6,10
Isla has 5 watermelons. She buys 4 more watermelons. How many watermelons does Isla have now?,5 + 4,9
Jack has 8 plums. He buys 1 more plum. How many plums does Jack have now?,8 + 1,9
Liam has 2 apricots. He buys 7 more apricots. How many apricots does Liam have now?,2 + 7,9
Emma has 4 kiwis. She buys 5 more kiwis. How many kiwis does Emma have now?,4 + 5,9
Ethan has 9 cherries. He buys 2 more cherries. How many cherries does Ethan have now?,9 + 2,11
Olivia has 3 strawberries. She buys 6 more strawberries. How many strawberries does Olivia have now?,3 + 6,9
Noah has 5 bananas. He buys 3 more bananas. How many bananas does Noah have now?,5 + 3,8
Liam has 3 apples. He buys 6 more apples. How many apples does Liam have now?,3 + 6,9
Emma has 2 bananas. She buys 7 more bananas. How many bananas does Emma have now?,2 + 7,9
Ethan has 5 oranges. He buys 4 more oranges. How many oranges does Ethan have now?,5 + 4,9
Olivia has 1 pear. She buys 8 more pears. How many pears does Olivia have now?,1 + 8,9
Noah has 4 strawberries. He buys 6 more strawberries. How many strawberries does Noah have now?,4 + 6,10
Sophia has 9 peaches. She buys 2 more peaches. How many peaches does Sophia have now?,9 + 2,11
Logan has 7 plums. He buys 3 more plums. How many plums does Logan have now?,7 + 3,10
Chloe has 6 cherries. She buys 4 more cherries. How many cherries does Chloe have now?,6 + 4,10
Henry has 8 blueberries. He buys 2 more blueberries. How many blueberries does Henry have now?,8 + 2,10
Amelia has 5 grapes. She buys 5 more grapes. How many grapes does Amelia have now?,5 + 5,10
Ava has 2 watermelons. She buys 7 more watermelons. How many watermelons does Ava have now?,2 + 7,9
Lucas has 3 figs. He buys 6 more figs. How many figs does Lucas have now?,3 + 6,9
Isla has 7 mangoes. She buys 1 more mango. How many mangoes does Isla have now?,7 + 1,8
Jack has 9 lemons. He buys 3 more lemons. How many lemons does Jack have now?,9 + 3,12
Liam has 8 pineapples. He buys 2 more pineapples. How many pineapples does Liam have now?,8 + 2,10
Ethan has 6 coconuts. He buys 4 more coconuts. How many coconuts does Ethan have now?,6 + 4,10
Olivia has 5 papayas. She buys 5 more papayas. How many papayas does Olivia have now?,5 + 5,10
Noah has 9 oranges. He buys 1 more orange. How many oranges does Noah have now?,9 + 1,10
Sophia has 2 peaches. She buys 7 more peaches. How many peaches does Sophia have now?,2 + 7,9
Logan has 6 figs. He buys 4 more figs. How many figs does Logan have now?,6 + 4,10
Chloe has 3 watermelons. She buys 6 more watermelons. How many watermelons does Chloe have now?,3 + 6,9
Henry has 9 apricots. He buys 2 more apricots. How many apricots does Henry have now?,9 + 2,11
Amelia has 8 pineapples. She buys 1 more pineapple. How many pineapples does Amelia have now?,8 + 1,9
Ava has 7 bananas. She buys 2 more bananas. How many bananas does Ava have now?,7 + 2,9
Lucas has 4 strawberries. He buys 6 more strawberries. How many strawberries does Lucas have now?,4 + 6,10
Isla has 5 raspberries. She buys 4 more raspberries. How many raspberries does Isla have now?,5 + 4,9
Jack has 9 coconuts. He buys 1 more coconut. How many coconuts does Jack have now?,9 + 1,10
Liam has 3 pears. He buys 7 more pears. How many pears does Liam have now?,3 + 7,10
Emma has 5 blueberries. She buys 4 more blueberries. How many blueberries does Emma have now?,5 + 4,9
Ethan has 6 cherries. He buys 3 more cherries. How many cherries does Ethan have now?,6 + 3,9
Olivia has 2 plums. She buys 7 more plums. How many plums does Olivia have now?,2 + 7,9
Noah has 8 figs. He buys 1 more fig. How many figs does Noah have now?,8 + 1,9
Sophia has 5 peaches. She buys 3 more peaches. How many peaches does Sophia have now?,5 + 3,8
Chloe has 6 raspberries. She buys 3 more raspberries. How many raspberries does Chloe have now?,6 + 3,9
Henry has 7 watermelons. He buys 2 more watermelons. How many watermelons does Henry have now?,7 + 2,9
Amelia has 3 apricots. She buys 6 more apricots. How many apricots does Amelia have now?,3 + 6,9
Ava has 8 lemons. She buys 2 more lemons. How many lemons does Ava have now?,8 + 2,10
Lucas has 4 kiwis. He buys 6 more kiwis. How many kiwis does Lucas have now?,4 + 6,10
Isla has 2 bananas. She buys 7 more bananas. How many bananas does Isla have now?,2 + 7,9
Jack has 9 strawberries. He buys 1 more strawberry. How many strawberries does Jack have now?,9 + 1,10
Liam has 6 plums. He buys 3 more plums. How many plums does Liam have now?,6 + 3,9
Emma has 4 cherries. She buys 6 more cherries. How many cherries does Emma have now?,4 + 6,10
Ethan has 9 figs. He buys 2 more figs. How many figs does Ethan have now?,9 + 2,11
Olivia has 5 pears. She buys 4 more pears. How many pears does Olivia have now?,5 + 4,9
Noah has 7 apricots. He buys 2 more apricots. How many apricots does Noah have now?,7 + 2,9
Sophia has 8 peaches. She buys 1 more peach. How many peaches does Sophia have now?,8 + 1,9
Logan has 3 lemons. He buys 6 more lemons. How many lemons does Logan have now?,3 + 6,9
Chloe has 6 watermelons. She buys 4 more watermelons. How many watermelons does Chloe have now?,6 + 4,10
Henry has 2 blueberries. He buys 7 more blueberries. How many blueberries does Henry have now?,2 + 7,9
Ava has 3 pineapples. She buys 6 more pineapples. How many pineapples does Ava have now?,3 + 6,9
Lucas has 4 melons. He buys 5 more melons. How many melons does Lucas have now?,4 + 5,9
Jack has 8 coconuts. He buys 2 more coconuts. How many coconuts does Jack have now?,8 + 2,10
Liam has 2 oranges. He buys 6 more oranges. How many oranges does Liam have now?,2 + 6,8
Emma has 5 strawberries. She buys 3 more strawberries. How many strawberries does Emma have now?,5 + 3,8
Ethan has 6 raspberries. He buys 4 more raspberries. How many raspberries does Ethan have now?,6 + 4,10
Olivia has 9 watermelons. She buys 1 more watermelon. How many watermelons does Olivia have now?,9 + 1,10
Noah has 4 apricots. He buys 5 more apricots. How many apricots does Noah have now?,4 + 5,9
Sophia has 6 bananas. She buys 3 more bananas. How many bananas does Sophia have now?,6 + 3,9
Logan has 2 pears. He buys 7 more pears. How many pears does Logan have now?,2 + 7,9
Chloe has 8 oranges. She buys 1 more orange. How many oranges does Chloe have now?,8 + 1,9
Henry has 4 strawberries. He buys 6 more strawberries. How many strawberries does Henry have now?,4 + 6,10
Amelia has 5 plums. She buys 5 more plums. How many plums does Amelia have now?,5 + 5,10
Ava has 9 cherries. She buys 1 more cherry. How many cherries does Ava have now?,9 + 1,10
Lucas has 2 coconuts. He buys 7 more coconuts. How many coconuts does Lucas have now?,2 + 7,9
Isla has 6 figs. She buys 4 more figs. How many figs does Isla have now?,6 + 4,10
Jack has 5 peaches. He buys 4 more peaches. How many peaches does Jack have now?,5 + 4,9
Liam has 3 apricots. He buys 6 more apricots. How many apricots does Liam have now?,3 + 6,9
Emma has 7 grapes. She buys 2 more grapes. How many grapes does Emma have now?,7 + 2,9
Ava has 2 apples. She buys 5 more apples. How many apples does Ava have now?,2 + 5,7
Liam has 4 bananas. He buys 3 more bananas. How many bananas does Liam have now?,4 + 3,7
Emma has 1 orange. She buys 6 more oranges. How many oranges does Emma have now?,1 + 6,7
Ethan has 7 grapes. He buys 2 more grapes. How many grapes does Ethan have now?,7 + 2,9
Olivia has 5 strawberries. She buys 4 more strawberries. How many strawberries does Olivia have now?,5 + 4,9
Noah has 6 pears. He buys 3 more pears. How many pears does Noah have now?,6 + 3,9
Sophia has 8 plums. She buys 1 more plum. How many plums does Sophia have now?,8 + 1,9
Logan has 3 melons. He buys 6 more melons. How many melons does Logan have now?,3 + 6,9
Chloe has 7 figs. She buys 3 more figs. How many figs does Chloe have now?,7 + 3,10
Henry has 9 cherries. He buys 1 more cherry. How many cherries does Henry have now?,9 + 1,10
Amelia has 6 apricots. She buys 2 more apricots. How many apricots does Amelia have now?,6 + 2,8
Ava has 3 blueberries. She buys 5 more blueberries. How many blueberries does Ava have now?,3 + 5,8
Lucas has 4 peaches. He buys 6 more peaches. How many peaches does Lucas have now?,4 + 6,10
Isla has 2 coconuts. She buys 8 more coconuts. How many coconuts does Isla have now?,2 + 8,10
Jack has 5 raspberries. He buys 4 more raspberries. How many raspberries does Jack have now?,5 + 4,9
Liam has 8 mangoes. He buys 1 more mango. How many mangoes does Liam have now?,8 + 1,9
Emma has 6 papayas. She buys 3 more papayas. How many papayas does Emma have now?,6 + 3,9
Ethan has 7 pineapples. He buys 2 more pineapples. How many pineapples does Ethan have now?,7 + 2,9
Olivia has 9 kiwis. She buys 1 more kiwi. How many kiwis does Olivia have now?,9 + 1,10
Noah has 5 strawberries. He buys 4 more strawberries. How many strawberries does Noah have now?,5 + 4,9
Sophia has 3 apricots. She buys 7 more apricots. How many apricots does Sophia have now?,3 + 7,10
Logan has 4 melons. He buys 6 more melons. How many melons does Logan have now?,4 + 6,10
Chloe has 8 pears. She buys 1 more pear. How many pears does Chloe have now?,8 + 1,9
Henry has 6 cherries. He buys 2 more cherries. How many cherries does Henry have now?,6 + 2,8
Amelia has 7 figs. She buys 3 more figs. How many figs does Amelia have now?,7 + 3,10
Ava has 5 blueberries. She buys 4 more blueberries. How many blueberries does Ava have now?,5 + 4,9
Lucas has 6 coconuts. He buys 2 more coconuts. How many coconuts does Lucas have now?,6 + 2,8
Isla has 7 peaches. She buys 2 more peaches. How many peaches does Isla have now?,7 + 2,9
Jack has 9 raspberries. He buys 1 more raspberry. How many raspberries does Jack have now?,9 + 1,10
Liam has 5 mangoes. He buys 3 more mangoes. How many mangoes does Liam have now?,5 + 3,8
Emma has 8 papayas. She buys 1 more papaya. How many papayas does Emma have now?,8 + 1,9
Ethan has 4 pineapples. He buys 5 more pineapples. How many pineapples does Ethan have now?,4 + 5,9
Olivia has 2 kiwis. She buys 7 more kiwis. How many kiwis does Olivia have now?,2 + 7,9
Noah has 7 strawberries. He buys 2 more strawberries. How many strawberries does Noah have now?,7 + 2,9
Logan has 5 melons. He buys 4 more melons. How many melons does Logan have now?,5 + 4,9
Chloe has 9 pears. She buys 1 more pear. How many pears does Chloe have now?,9 + 1,10
Henry has 8 cherries. He buys 2 more cherries. How many cherries does Henry have now?,8 + 2,10
Amelia has 6 figs. She buys 3 more figs. How many figs does Amelia have now?,6 + 3,9
Ava has 7 blueberries. She buys 2 more blueberries. How many blueberries does Ava have now?,7 + 2,9
Lucas has 5 coconuts. He buys 3 more coconuts. How many coconuts does Lucas have now?,5 + 3,8
Isla has 8 peaches. She buys 1 more peach. How many peaches does Isla have now?,8 + 1,9
Jack has 6 raspberries. He buys 3 more raspberries. How many raspberries does Jack have now?,6 + 3,9
Liam has 9 mangoes. He buys 1 more mango. How many mangoes does Liam have now?,9 + 1,10
Emma has 7 papayas. She buys 2 more papayas. How many papayas does Emma have now?,7 + 2,9
"A bakery has 80 pastries. If 30 are sold, how many pastries remain?",80 - 30,50
"A company has 500 chairs. If 200 are sold, how many chairs are left?",500 - 200,300
"A delivery service has 100 packages. If 50 are delivered, how many packages are left?",100 - 50,50
"A candy store has 60 types of candy. If 15 are sold, how many types of candy remain?",60 - 15,45
"A pet store has 150 fish. If 50 are sold, how many fish remain?",150 - 50,100
"A library has 200 books. If 75 are checked out, how many books are left?",200 - 75,125
"A bakery has 300 muffins. If 150 are sold, how many muffins remain?",300 - 150,150
"A store has 200 shirts. If 100 shirts are sold, how many shirts are left?",200 - 100,100
"A farmer has 150 chickens. If 50 are sold, how many chickens are left?",150 - 50,100
"A toy store has 300 toys. If 50 toys are sold, how many toys remain?",300 - 50,250
"A school has 150 computers. If 50 are broken, how many computers are still usable?",150 - 50,100
"A grocery store has 200 bags of chips. If 50 are sold, how many bags are left?",200 - 50,150
"A delivery service has 400 packages. If 200 are delivered, how many packages are left?",400 - 200,200
"A restaurant has 100 chairs. If 25 are broken, how many chairs are left?",100 - 25,75
"A store has 50 computers. If 20 are sold, how many computers remain?",50 - 20,30
"A library has 200 magazines. If 80 are checked out, how many magazines are left?",200 - 80,120
"A farmer has 300 eggs. If 50 are sold, how many eggs are left?",300 - 50,250
"A bakery has 100 cakes. If 40 are sold, how many cakes remain?",100 - 40,60
"A park has 300 trees. If 50 trees are cut down, how many trees are left?",300 - 50,250
"A company has 500 employees. If 200 leave, how many employees are left?",500 - 200,300
"A pet store has 90 cats. If 20 are adopted, how many cats are left?",90 - 20,70
"A zoo has 200 animals. If 100 are adopted, how many animals are left?",200 - 100,100
"A clothing store has 500 dresses. If 150 are sold, how many dresses remain?",500 - 150,350
"A bank has 600 dollars. If 200 dollars are withdrawn, how much is left?",600 - 200,400
"A school has 120 desks. If 30 are broken, how many desks are left?",120 - 30,90
"A toy factory has 200 toys. If 100 are defective, how many good toys are left?",200 - 100,100
"A grocery store has 400 items. If 150 are sold, how many items are left?",400 - 150,250
"A restaurant has 150 plates. If 50 are broken, how many plates are left?",150 - 50,100
"A garden has 400 flowers. If 150 are picked, how many flowers remain?",400 - 150,250
"A library has 600 books. If 300 are checked out, how many books are left?",600 - 300,300
"A bakery has 300 cookies. If 200 are sold, how many cookies remain?",300 - 200,100
"A school has 250 students. If 100 graduate, how many students are left?",250 - 100,150
"A grocery store has 300 cans of soup. If 100 are sold, how many cans are left?",300 - 100,200
"A movie theater has 250 seats. If 75 tickets are sold, how many seats are left?",250 - 75,175
"A delivery service has 800 packages. If 300 are delivered, how many packages are left?",800 - 300,500
"A farmer has 300 apples. If 150 are sold, how many apples are left?",300 - 150,150
"A restaurant has 200 tables. If 50 are broken, how many tables are left?",200 - 50,150
"A candy shop has 150 candies. If 75 are sold, how many candies are left?",150 - 75,75
"A store has 400 toys. If 150 are sold, how many toys remain?",400 - 150,250
"A bakery has 600 cookies. If 200 are sold, how many cookies remain?",600 - 200,400
"A library has 300 DVDs. If 150 are borrowed, how many DVDs are left?",300 - 150,150
"A supermarket has 700 bottles of juice. If 350 are sold, how many bottles are left?",700 - 350,350
"A gym has 500 members. If 200 cancel, how many members remain?",500 - 200,300
"A store has 400 bags of chips. If 150 are sold, how many bags are left?",400 - 150,250
"A bakery has 250 muffins. If 100 are sold, how many muffins remain?",250 - 100,150
"A school has 200 students. If 50 graduate, how many students are left?",200 - 50,150
"A garden has 600 plants. If 200 die, how many plants are still alive?",600 - 200,400
"A candy store has 100 chocolates. If 25 are sold, how many chocolates remain?",100 - 25,75
"A pet shop has 400 fish. If 100 are sold, how many fish are left?",400 - 100,300
"A delivery service has 150 packages. If 50 are delivered, how many packages are left?",150 - 50,100
"A bakery has 100 loaves of bread. If 30 are sold, how many loaves are left?",100 - 30,70
"A pet store has 500 hamsters. If 250 are sold, how many hamsters remain?",500 - 250,250
"A grocery store has 400 bottles of water. If 150 are sold, how many bottles are left?",400 - 150,250
"A restaurant has 80 chairs. If 30 are broken, how many chairs are left?",80 - 30,50
"A bank has 900 dollars. If 300 dollars are withdrawn, how much is left?",900 - 300,600
"A school has 300 students. If 100 graduate, how many students are left?",300 - 100,200
"A bakery has 70 cakes. If 20 are sold, how many cakes remain?",70 - 20,50
"A toy store has 150 toys. If 50 are sold, how many toys are left?",150 - 50,100
"A pet store has 100 puppies. If 40 are adopted, how many puppies are left?",100 - 40,60
